selfies,y,source_split
77,[N][#C][C][=C][C][=C][C][=C][NH1][C][Ring1][Branch1][=C][Ring1][=Branch2],train
78,[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][C][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][N],train
79,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1],train
80,[O][=C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],train
81,[N][C][=C][C][=N][C][=C][Ring1][=Branch1],train
82,[C][C][C][C][C][=C][C][Branch1][Ring1][C][=O][=C][C][=C][C][=C][Branch1][Branch1][C][C][C][C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][#Branch2][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][Ring2][Ring1][=Branch1],train
83,[C][O][C][=C][C][=C][C][C][=C][Branch1][Ring1][C][#N][C][=Branch1][C][=N][O][C][Ring1][=N][=Ring1][=Branch2],train
84,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],train
85,[N][#C][C][=C][C][=C][C][NH1][C][=C][C][Ring1][=Branch2][=Ring1][Branch1],train
86,[N][#C][C][=C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O][C][Ring1][O][=O],train
87,[C][C][N][=C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][N][C][=Ring1][N][C][C][C][C][Ring1][=Branch1],train
88,[C][C][C][C][C][=C][C][Branch1][Branch2][C][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][Branch1][Branch1][C][C][C][C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][=N][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][Ring2][Ring1][=Branch1],train
89,[N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C],train
90,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],train
91,[C][C][C][C][C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=C][C][=C][Ring1][=Branch2][C][=C][Ring1][=N][C][=O],train
92,[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],train
93,[C][=C][C][=C][Branch2][Ring2][N][C][=C][C][=C][Branch2][Ring1][S][N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][C][=C][Ring1][Branch1][C][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][C][=Ring1][=Branch2][Ring1][=N][C][=N][Ring2][Ring1][O][N][=C][Ring2][Ring1][P],train
94,[N][#C][C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
95,[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],train
96,[C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][N][Ring1][#Branch2][C],train
97,[C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=C][Branch1][C][C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][=Branch2][N][Ring1][N][C],train
98,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],train
99,[C][C][Branch1][C][C][C][C][Branch2][Ring1][O][N][C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][N][Ring2][Ring1][O],train
100,[C][C][C][C][C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=C][C][=C][Ring1][=Branch2][C][=C][Ring1][=N][C][=O],train
101,[C][C][C][C][C][=C][C][Branch1][Ring1][C][=O][=C][C][=C][C][=C][Branch1][Branch1][C][C][C][C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][#Branch2][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][Ring2][Ring1][=Branch1],train
102,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][Branch1][C][C][=C][C][=Branch1][C][=O][O][C][Ring1][Branch2][=C][Ring1][N],train
103,[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],train
104,[N][#C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],train
105,[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][C][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][N],train
106,[C][S][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][Branch1][Branch2][C][C][=C][O][C][=Ring1][Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][#C][Ring1][=Branch1][C][=C][C][Ring2][Ring1][#Branch2][=C][Ring2][Ring1][=Branch2][Ring2][Ring1][Branch1],train
107,[C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][N][Ring1][#Branch2][C],train
108,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Ring1][O][O][C][Ring1][#C][=C][Ring2][Ring1][Ring1],train
109,[C][O][C][=C][C][=C][C][Branch2][Ring1][Branch1][C][=N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][=N][O][Ring1][N][=C][C][=Branch1][C][=O][O][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1],train
110,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Ring1][O][O][C][Ring1][#C][=C][Ring2][Ring1][Ring1],train
111,[C][=C][C][=C][Branch2][Ring2][=C][N][C][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Branch2][Ring1][=Branch1][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring1][#Branch2][=C][Ring1][=C][=N][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1],train
112,[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring2][O][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][=C][S][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2][C][Ring1][O][=C][Ring1][#C][C][Ring2][Ring1][Branch1][=N][Ring2][Ring1][=Branch2][C][Branch1][Ring1][C][#N][=C][Ring2][Ring2][Ring1],train
113,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Ring1][O][O][C][Ring1][#C][=C][Ring2][Ring1][Ring1],train
114,[N][#C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],train
115,[O][=S][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch2][Ring2][Ring2][C][Branch2][Ring1][=Branch2][C][=C][C][=C][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=Ring1][=Branch2][C][Ring1][N][=C][Ring1][S][N][C][=C][C][=C][Ring1][Branch1][=C][C][=C][Ring2][Ring1][N][Ring2][Ring2][Ring2],train
116,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],train
117,[O][=C][Branch1][C][O][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][O][C][Branch1][=Branch2][C][C][=C][C][=C][NH1][Ring1][Branch1][C][C][=C][NH1][C][=Ring1][Branch1][C][=C][Ring2][Ring1][Branch1],train
118,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Ring1][O][O][C][Ring1][#C][=C][Ring2][Ring1][Ring1],train
119,[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],train
120,[C][C][C][C][C][=C][C][Branch1][Branch2][C][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][Branch1][Branch1][C][C][C][C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][=N][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][Ring2][Ring1][=Branch1],train
121,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],train
122,[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][Branch1][Ring1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][Ring1][O][C][=C][Ring1][=C][N][Ring2][Ring1][C][C],train
123,[C][C][Branch1][C][C][C][C][Branch2][Ring1][O][N][C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][N][Ring2][Ring1][O],train
124,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],train
